"Item #","Designator","Qty","Mfg Part #","Description / Value","Package","Footprint"
"1","C3,C5,C6,C7,C10,C16,C20,C21,C22","9","CL10B104KC8NNNC","100n","0603 Samsung","CL10B104KC8NNNC:CAPC1608X90N"
"2","C8","1","ECHU1C471JX5","470p","0603-2 Panasonic","ECHU1C471JX5:CAP_ECHU1C471JX5"
"3","C12,C13,C14,C15","4","CL21A475KBQNNNE","4.7u","0805 Samsung","CL21A475KBQNNNE:CAPC2012X140N"
"4","C17,C19","2","CL21A475KBQNNNE","2.2u","0805 Samsung","CL21A475KBQNNNE:CAPC2012X140N"
"5","D2","1","LTST-C190KGKT","LTST-C190KGKT","0603 Lite-On","LTST-C190KGKT:LEDC1608X35N"
"6","FB1,FB2,FB3","3","ACML-0402HC-301-T","BLM18KG102SN1D","0402 Abracon","ACML-0402HC-301-T:BEADC1005X65N"
"7","J1,J2","2","-- mixed values --","*","Custom","-- mixed values --"
"8","L1","1","NRS4018T470MDGJ","47uH","Nonstandard Taiyo Yuden","NRS4018T470MDGJ:IND_NRS4018T470MDGJ"
"9","U1","1","SC1631","Pico 2","Custom","RP PICO:RPi_Pico_SMD_TH"
"10","U2,U4,U5","3","OPA357AIDBVR","OPA357AIDBVR","SOT-23-6 Texas Instruments","OPA357AIDBVR:SOT95P280X145-6N"
"11","U3","1","TLV3201AIDBVR","TLV3201AIDBVR","SOT95P280X145-5N","TLV3201AIDBVR:SOT95P280X145-5N"
"12","U6,U7","2","LM4040AIM3-3.0/NOPB","LM4040AIM3-3.0+T","SOT-23-3 Texas Instruments","LM4040AIM3-3_0-T:SOT95P237X112-3N"
"13","U8","1","MAX5026EUT+T","MAX5026EUT_T","SOT-23-6 Maxim Integrated","MAX5026EUT_T:SOT95P280X145-6N"
"14","U9","1","TPS7B6950DBVR","TPS7B6950DBVR","SOT-223-4 Texas Instruments","TPS7B6950DBVR:SOT95P280X145-5N"
"15","U10","1","MICROFC-60035-SMT-TR1","MICROFC-60035-SMT-TR1","SMD-4 ON Semiconductor","MICROFC-60035-SMT-TR1:XDCR_MICROFC-60035-SMT-TR1"
"16","Q3,Q4","2","MMBT5088LT1G","MMBT5088LT1G","SOT95P237X111-3N","MMBT5088LT1G:SOT95P237X111-3N"
"17","D1,D3","2","933976380215","BAT54S","SOT-23","Package_TO_SOT_SMD:SOT-23"
"18","Q1","1","934003470215","2N7002","SOT-23","Package_TO_SOT_SMD:SOT-23"
"19","VR1,VR2","2","3266W-1-503","50k","TO-218","3266W-1-503:TRIM_3266W-1-503"
"20","TH1","1","NTCS0603E3103FLT","Thermistor_PTC","0603","NTCS0603E3103FLT:NTCS0603E3103FLT"
"21","C1,C2,C4,C9,C11,C18","6","CL10A226MP8NUNE","22uF","0603 Samsung","CL10A226MP8NUNE:CAPC1608X90N"
"22","D5","1","PMEG4010BEA,115","PMEG4010BEA","SOD323","PMEG4010BEA_115:DIO_BZX384-C30_115"
"23","JP1,JP2","2","","~","","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm"
"24","R1,R3,R7,R9,R15","5","ERJ3EKF2103V","210k","0603","ERJ3EKF2103V:RES_ERJ3EKF2103V"
"25","R2,R4,R6,R8,R12,R13","6","ERJ3EKF1001V","1k","0603","ERJ3EKF1001V:RES_ERJ3EKF1001V"
"26","R5,R10,R16","3","ERJ3EKF1000V","100R","0603","ERJ3EKF1000V:RES_ERJ3EKF1000V"
"27","R11,R14","2","ERJ3EKF1002V","10k","0603","ERJ3EKF1002V:RES_ERJ3EKF1002V"
"28","R17,R18,R19","3","ERJ3EKF4992V","49.9k","0603","ERJ3EKF4992V:RES_ERJ3EKF4992V"
"29","R20,R21","2","ERJ3EKF49R9V","49.9R","0603","ERJ3EKF49R9V:RES_ERJ3EKF49R9V"
